# CAMB transfer functions at z = 1000, converted to the CLASS
# convention (Newtonian gauge, unit primordial curvature, theta in 1/Mpc
# with d(delta)/dtau = -theta).
# cosmology: h=0.71, Omega_b=0.044, Omega_cdm=0.226, A_s=2.1e-09, n_s=0.965, k_pivot=0.05/Mpc
# k[1/Mpc]  delta_b  delta_cdm  theta_b[1/Mpc]  theta_cdm[1/Mpc]
2.955102594569325447e-03 -1.459199786186218262e-01 -1.482880264520645142e-01 6.726695573888719082e-04 6.969537353143095970e-04
3.262875368818640709e-03 -1.770489364862442017e-01 -1.805615723133087158e-01 8.123379084281623363e-04 8.483252022415399551e-04
3.602702170610427856e-03 -2.145918905735015869e-01 -2.197999507188796997e-01 9.789150208234786987e-04 1.032210653647780418e-03
3.977921791374683380e-03 -2.597602307796478271e-01 -2.674779295921325684e-01 1.176553545519709587e-03 1.255419338122010231e-03
4.392221104353666306e-03 -3.139396309852600098e-01 -3.253688216209411621e-01 1.409510732628405094e-03 1.526102307252585888e-03
4.849668592214584351e-03 -3.786861002445220947e-01 -3.955982029438018799e-01 1.681813737377524376e-03 1.853973255492746830e-03
5.354759283363819122e-03 -4.557041823863983154e-01 -4.807049036026000977e-01 1.996707869693636894e-03 2.250552177429199219e-03
5.912455264478921890e-03 -5.467930436134338379e-01 -5.837072134017944336e-01 2.355781150981783867e-03 2.729407511651515961e-03
6.528235040605068207e-03 -6.537468433380126953e-01 -7.081723809242248535e-01 2.757644513621926308e-03 3.306389553472399712e-03
7.208147086203098297e-03 -7.781853079795837402e-01 -8.582872748374938965e-01 3.196000587195158005e-03 3.999820444732904434e-03
7.958873175084590912e-03 -9.212866425514221191e-01 -1.038924336433410645e+00 3.656927030533552170e-03 4.830594640225172043e-03
8.787785656750202179e-03 -1.083381414413452148e+00 -1.255689501762390137e+00 4.115193616598844528e-03 5.822116974741220474e-03
9.703029878437519073e-03 -1.263373136520385742e+00 -1.514949083328247070e+00 4.529542755335569382e-03 7.000006735324859619e-03
1.071359589695930481e-02 -1.457933187484741211e+00 -1.823805332183837891e+00 4.837058950215578079e-03 8.391392417252063751e-03
1.182941254228353500e-02 -1.660457015037536621e+00 -2.190011024475097656e+00 4.947269801050424576e-03 1.002371404320001602e-02
1.306143961846828461e-02 -1.859790563583374023e+00 -2.621786832809448242e+00 4.737501498311758041e-03 1.192279439419507980e-02
1.442178245633840561e-02 -2.038853883743286133e+00 -3.127522230148315430e+00 4.052567761391401291e-03 1.411008741706609726e-02
1.592380553483963013e-02 -2.173443555831909180e+00 -3.715331554412841797e+00 2.714189235121011734e-03 1.659900695085525513e-02
1.758226193487644196e-02 -2.231800317764282227e+00 -4.392457008361816406e+00 5.485910805873572826e-04 1.939052157104015350e-02
1.941344700753688812e-02 -2.175933361053466797e+00 -5.164549827575683594e+00 -2.556230872869491577e-03 2.246863022446632385e-02
2.143534831702709198e-02 -1.966163516044616699e+00 -6.034875869750976562e+00 -6.551581434905529022e-03 2.579687722027301788e-02
2.366783097386360168e-02 -1.570719122886657715e+00 -7.003581047058105469e+00 -1.108233537524938583e-02 2.931800670921802521e-02
2.613282389938831329e-02 -9.819480776786804199e-01 -8.067188262939453125e+00 -1.531261764466762543e-02 3.295956552028656006e-02
2.885454706847667694e-02 -2.389334887266159058e-01 -9.218550682067871094e+00 -1.779340952634811401e-02 3.664813563227653503e-02
3.174000233411788940e-02 5.196259617805480957e-01 -1.039952564239501953e+01 -1.667129993438720703e-02 4.019336774945259094e-02
3.462545573711395264e-02 1.104315996170043945e+00 -1.153165721893310547e+01 -1.106715109199285507e-02 4.342596977949142456e-02
3.751091286540031433e-02 1.399926900863647461e+00 -1.261223316192626953e+01 -1.369624398648738861e-03 4.643704742193222046e-02
4.039636626839637756e-02 1.346126198768615723e+00 -1.364288139343261719e+01 1.096048858016729355e-02 4.932362213730812073e-02
4.328181967139244080e-02 9.498680830001831055e-01 -1.462825870513916016e+01 2.362405322492122650e-02 5.217053368687629700e-02
4.616727307438850403e-02 2.842442095279693604e-01 -1.557484054565429688e+01 3.394106402993202209e-02 5.504059419035911560e-02
4.905273020267486572e-02 -5.254985094070434570e-01 -1.648971176147460938e+01 3.944113105535507202e-02 5.796951055526733398e-02
5.193818733096122742e-02 -1.326046347618103027e+00 -1.737946319580078125e+01 3.845216333866119385e-02 6.096533685922622681e-02
5.482363700866699219e-02 -1.965493321418762207e+00 -1.824934959411621094e+01 3.054942749440670013e-02 6.401102244853973389e-02
5.770909413695335388e-02 -2.322354793548583984e+00 -1.910280990600585938e+01 1.675320044159889221e-02 6.706948578357696533e-02
6.059455126523971558e-02 -2.328656911849975586e+00 -1.994137954711914062e+01 -5.836100899614393711e-04 7.009087502956390381e-02
6.419607996940612793e-02 -1.848347306251525879e+00 -2.096690940856933594e+01 -2.218358591198921204e-02 7.372970879077911377e-02
6.779761612415313721e-02 -9.615507125854492188e-01 -2.196658134460449219e+01 -3.740816935896873474e-02 7.714210450649261475e-02
7.139915227890014648e-02 7.858730852603912354e-02 -2.293704414367675781e+01 -4.099330678582191467e-02 8.028319478034973145e-02
7.500068843364715576e-02 9.784445166587829590e-01 -2.387555503845214844e+01 -3.098781965672969818e-02 8.316148817539215088e-02
7.860221713781356812e-02 1.489434003829956055e+00 -2.478094291687011719e+01 -9.570549242198467255e-03 8.583297580480575562e-02
8.220375329256057739e-02 1.478587627410888672e+00 -2.565395355224609375e+01 1.743495278060436249e-02 8.838073164224624634e-02
8.580528199672698975e-02 9.637138247489929199e-01 -2.649706840515136719e+01 4.223695024847984314e-02 9.088914841413497925e-02
8.940681070089340210e-02 1.041264981031417847e-01 -2.731393623352050781e+01 5.743984133005142212e-02 9.342224150896072388e-02
9.300835430622100830e-02 -8.490983843803405762e-01 -2.810859680175781250e+01 5.834860727190971375e-02 9.601130336523056030e-02
9.660988301038742065e-02 -1.627395868301391602e+00 -2.888462448120117188e+01 4.447282105684280396e-02 9.865245223045349121e-02
1.002114191651344299e-01 -2.021249294281005859e+00 -2.964458274841308594e+01 1.974109560251235962e-02 1.013126820325851440e-01
1.038129478693008423e-01 -1.936826944351196289e+00 -3.038972282409667969e+01 -8.651849813759326935e-03 1.039412021636962891e-01
1.074144914746284485e-01 -1.417475581169128418e+00 -3.112013435363769531e+01 -3.240665793418884277e-02 1.064843311905860901e-01
1.110160201787948608e-01 -6.254180073738098145e-01 -3.183511924743652344e+01 -4.461351409554481506e-02 1.089003980159759521e-01
1.146175488829612732e-01 2.092246711254119873e-01 -3.253376388549804688e+01 -4.180544614791870117e-02 1.111712679266929626e-01
1.182190850377082825e-01 8.559635281562805176e-01 -3.321538162231445312e+01 -2.494539879262447357e-02 1.133060157299041748e-01
1.218206211924552917e-01 1.148056983947753906e+00 -3.387979888916015625e+01 9.364353027194738388e-04 1.153360456228256226e-01
1.254221498966217041e-01 1.025252699851989746e+00 -3.452750778198242188e+01 2.831524237990379333e-02 1.173041537404060364e-01
1.290236860513687134e-01 5.442640185356140137e-01 -3.515960311889648438e+01 4.944722354412078857e-02 1.192516610026359558e-01
1.326252222061157227e-01 -1.437845677137374878e-01 -3.577754211425781250e+01 5.863859131932258606e-02 1.212082132697105408e-01
1.362267583608627319e-01 -8.408761620521545410e-01 -3.638291549682617188e+01 5.382744967937469482e-02 1.231866776943206787e-01
1.398282945156097412e-01 -1.359333634376525879e+00 -3.697713088989257812e+01 3.703057765960693359e-02 1.251828074455261230e-01
1.434298157691955566e-01 -1.572362661361694336e+00 -3.756119155883789062e+01 1.357312779873609543e-02 1.271788626909255981e-01
1.470313519239425659e-01 -1.444404840469360352e+00 -3.813565826416015625e+01 -9.610348381102085114e-03 1.291498243808746338e-01
1.506328880786895752e-01 -1.034145116806030273e+00 -3.870063781738281250e+01 -2.605124749243259430e-02 1.310705691576004028e-01
1.542344242334365845e-01 -4.717106819152832031e-01 -3.925598144531250000e+01 -3.156492486596107483e-02 1.329230964183807373e-01
1.578359454870223999e-01 8.201362937688827515e-02 -3.980140686035156250e+01 -2.529532648622989655e-02 1.347010582685470581e-01
1.614374816417694092e-01 4.810473918914794922e-01 -4.033673858642578125e+01 -9.732652455568313599e-03 1.364106982946395874e-01
1.650390177965164185e-01 6.323160529136657715e-01 -4.086194610595703125e+01 1.022877730429172516e-02 1.380675137042999268e-01
1.686405539512634277e-01 5.161121487617492676e-01 -4.137723922729492188e+01 2.884771116077899933e-02 1.396906673908233643e-01
1.722420901060104370e-01 1.850795447826385498e-01 -4.188303375244140625e+01 4.121140763163566589e-02 1.412973552942276001e-01
1.758436113595962524e-01 -2.561521232128143311e-01 -4.237991714477539062e+01 4.453767836093902588e-02 1.428989768028259277e-01
1.794451624155044556e-01 -6.833999752998352051e-01 -4.286855697631835938e+01 3.876272588968276978e-02 1.444997042417526245e-01
1.830466836690902710e-01 -9.875069856643676758e-01 -4.334953689575195312e+01 2.631124667823314667e-02 1.460967659950256348e-01
1.866482198238372803e-01 -1.101710200309753418e+00 -4.382336425781250000e+01 1.119167450815439224e-02 1.476826369762420654e-01
1.902497559785842896e-01 -1.015069484710693359e+00 -4.429035949707031250e+01 -2.260799985378980637e-03 1.492471396923065186e-01
1.938512772321701050e-01 -7.698490619659423828e-01 -4.475070953369140625e+01 -1.060239411890506744e-02 1.507808268070220947e-01
1.974528282880783081e-01 -4.451786875724792480e-01 -4.520449066162109375e+01 -1.212315447628498077e-02 1.522777527570724487e-01
2.010543644428253174e-01 -1.327330172061920166e-01 -4.565172576904296875e+01 -7.119851186871528625e-03 1.537369638681411743e-01
2.046558856964111328e-01 8.843141049146652222e-02 -4.609238815307617188e+01 2.410377608612179756e-03 1.551623195409774780e-01
2.082574218511581421e-01 1.709154993295669556e-01 -4.652655029296875000e+01 1.350243762135505676e-02 1.565606743097305298e-01
2.118589431047439575e-01 1.078528165817260742e-01 -4.695429992675781250e+01 2.312909811735153198e-02 1.579393744468688965e-01
2.154604941606521606e-01 -6.973823159933090210e-02 -4.737580108642578125e+01 2.901068516075611115e-02 1.593042761087417603e-01
2.190620303153991699e-01 -3.050474524497985840e-01 -4.779125595092773438e+01 3.012228384613990784e-02 1.606586873531341553e-01
2.226635515689849854e-01 -5.329390168190002441e-01 -4.820092010498046875e+01 2.680064179003238678e-02 1.620033830404281616e-01
2.262650877237319946e-01 -6.973490118980407715e-01 -4.860503768920898438e+01 2.047787792980670929e-02 1.633370071649551392e-01
2.298666387796401978e-01 -7.646210789680480957e-01 -4.900384902954101562e+01 1.316437311470508575e-02 1.646565496921539307e-01
2.334681600332260132e-01 -7.293749451637268066e-01 -4.939751434326171875e+01 6.854004692286252975e-03 1.659584343433380127e-01
2.370696961879730225e-01 -6.125792860984802246e-01 -4.978620147705078125e+01 3.019151976332068443e-03 1.672396212816238403e-01
2.406712174415588379e-01 -4.532305598258972168e-01 -5.017002105712890625e+01 2.312259050086140633e-03 1.684987097978591919e-01
2.442727535963058472e-01 -2.963986098766326904e-01 -5.054908370971679688e+01 4.519482143223285675e-03 1.697363704442977905e-01
2.478743046522140503e-01 -1.812576353549957275e-01 -5.092347335815429688e+01 8.738327771425247192e-03 1.709549278020858765e-01
2.514758110046386719e-01 -1.319582760334014893e-01 -5.129325485229492188e+01 1.369925588369369507e-02 1.721574068069458008e-01
2.550773620605468750e-01 -1.534893363714218140e-01 -5.165856170654296875e+01 1.812913268804550171e-02 1.733466982841491699e-01
2.586789131164550781e-01 -2.327038049697875977e-01 -5.201946258544921875e+01 2.105998061597347260e-02 1.745246946811676025e-01
2.622804343700408936e-01 -3.437770903110504150e-01 -5.237605667114257812e+01 2.201733551919460297e-02 1.756923496723175049e-01
2.658819556236267090e-01 -4.561271667480468750e-01 -5.272846984863281250e+01 2.106208913028240204e-02 1.768498122692108154e-01
2.694834768772125244e-01 -5.425845384597778320e-01 -5.307681655883789062e+01 1.869916729629039764e-02 1.779965162277221680e-01
2.730850279331207275e-01 -5.855500102043151855e-01 -5.342119216918945312e+01 1.569588482379913330e-02 1.791312545537948608e-01
2.766865789890289307e-01 -5.801959633827209473e-01 -5.376168060302734375e+01 1.286610402166843414e-02 1.802524477243423462e-01
2.802881002426147461e-01 -5.340841412544250488e-01 -5.409835815429687500e+01 1.087502390146255493e-02 1.813589185476303101e-01
2.838896214962005615e-01 -4.637823402881622314e-01 -5.443130874633789062e+01 1.010561455041170120e-02 1.824502944946289062e-01
2.874911725521087646e-01 -3.897024691104888916e-01 -5.476062011718750000e+01 1.060743350535631180e-02 1.835272759199142456e-01
2.910926938056945801e-01 -3.306602239608764648e-01 -5.508636093139648438e+01 1.212804391980171204e-02 1.845909953117370605e-01
2.946942448616027832e-01 -2.995527684688568115e-01 -5.540863037109375000e+01 1.420892961323261261e-02 1.856430768966674805e-01
2.982957363128662109e-01 -3.008836805820465088e-01 -5.572747802734375000e+01 1.631644181907176971e-02 1.866846084594726562e-01
3.018972873687744141e-01 -3.307940363883972168e-01 -5.604302597045898438e+01 1.797455921769142151e-02 1.877167075872421265e-01
3.054988384246826172e-01 -3.790188729763031006e-01 -5.635535430908203125e+01 1.886873319745063782e-02 1.887399554252624512e-01
3.091003596782684326e-01 -4.321606755256652832e-01 -5.666451263427734375e+01 1.890072599053382874e-02 1.897546052932739258e-01
3.127018809318542480e-01 -4.773374795913696289e-01 -5.697058486938476562e+01 1.818692497909069061e-02 1.907606273889541626e-01
3.163034319877624512e-01 -5.051868557929992676e-01 -5.727365112304687500e+01 1.700652018189430237e-02 1.917576044797897339e-01
3.199049532413482666e-01 -5.116778016090393066e-01 -5.757372665405273438e+01 1.571700163185596466e-02 1.927445977926254272e-01
3.235065042972564697e-01 -4.984139204025268555e-01 -5.787088775634765625e+01 1.466019637882709503e-02 1.937211006879806519e-01
3.271080255508422852e-01 -4.715104103088378906e-01 -5.816515350341796875e+01 1.408211700618267059e-02 1.946867704391479492e-01
3.307095468044281006e-01 -4.395081102848052979e-01 -5.845658874511718750e+01 1.408448256552219391e-02 1.956419646739959717e-01
3.343110978603363037e-01 -4.110692143440246582e-01 -5.874524307250976562e+01 1.461646053940057755e-02 1.965871751308441162e-01
3.379126191139221191e-01 -3.928794264793395996e-01 -5.903114700317382812e+01 1.550465822219848633e-02 1.975230127573013306e-01
3.415141701698303223e-01 -3.882431089878082275e-01 -5.931436538696289062e+01 1.651001162827014923e-02 1.984499990940093994e-01
3.451156914234161377e-01 -3.968542218208312988e-01 -5.959494400024414062e+01 1.739442534744739532e-02 1.993686556816101074e-01
3.487172126770019531e-01 -4.152915775775909424e-01 -5.987294769287109375e+01 1.797928102314472198e-02 2.002795189619064331e-01
3.523187637329101562e-01 -4.382275342941284180e-01 -6.014842987060546875e+01 1.818195730447769165e-02 2.011830359697341919e-01
3.559203147888183594e-01 -4.600646495819091797e-01 -6.042144775390625000e+01 1.802381873130798340e-02 2.020793706178665161e-01
3.595218360424041748e-01 -4.761795401573181152e-01 -6.069202804565429688e+01 1.761125773191452026e-02 2.029682993888854980e-01
3.631233572959899902e-01 -4.839541018009185791e-01 -6.096022415161132812e+01 1.709810644388198853e-02 2.038495242595672607e-01
3.667248785495758057e-01 -4.831097126007080078e-01 -6.122607803344726562e+01 1.664134301245212555e-02 2.047227323055267334e-01
3.703264296054840088e-01 -4.754607975482940674e-01 -6.148962783813476562e+01 1.636199466884136200e-02 2.055879682302474976e-01
3.739279806613922119e-01 -4.641494154930114746e-01 -6.175091171264648438e+01 1.632048748433589935e-02 2.064453065395355225e-01
3.775295019149780273e-01 -4.527362883090972900e-01 -6.200993728637695312e+01 1.651048101484775543e-02 2.072949111461639404e-01
3.811310231685638428e-01 -4.442924559116363525e-01 -6.226676177978515625e+01 1.687029190361499786e-02 2.081370353698730469e-01
3.847325444221496582e-01 -4.407618343830108643e-01 -6.252141571044921875e+01 1.730628497898578644e-02 2.089718431234359741e-01
3.883340954780578613e-01 -4.426270127296447754e-01 -6.277393722534179688e+01 1.772063970565795898e-02 2.097996175289154053e-01
3.919356465339660645e-01 -4.490445256233215332e-01 -6.302436828613281250e+01 1.803566329181194305e-02 2.106207460165023804e-01
3.955371677875518799e-01 -4.582380354404449463e-01 -6.327272415161132812e+01 1.820934005081653595e-02 2.114354968070983887e-01
3.991386890411376953e-01 -4.680055975914001465e-01 -6.351906204223632812e+01 1.823961734771728516e-02 2.122440189123153687e-01
4.027402102947235107e-01 -4.763319194316864014e-01 -6.376340103149414062e+01 1.815848797559738159e-02 2.130462080240249634e-01
4.063417613506317139e-01 -4.818755686283111572e-01 -6.400579071044921875e+01 1.801900193095207214e-02 2.138420939445495605e-01
4.099433124065399170e-01 -4.841105341911315918e-01 -6.424626159667968750e+01 1.787937991321086884e-02 2.146315723657608032e-01
4.135448336601257324e-01 -4.833403825759887695e-01 -6.448483276367187500e+01 1.778853498399257660e-02 2.154146581888198853e-01
4.171463847160339355e-01 -4.805491566658020020e-01 -6.472153472900390625e+01 1.777606271207332611e-02 2.161916047334671021e-01
4.207478761672973633e-01 -4.770311713218688965e-01 -6.495637512207031250e+01 1.784840226173400879e-02 2.169623672962188721e-01
4.382790625095367432e-01 -4.788157045841217041e-01 -6.607432556152343750e+01 1.865133084356784821e-02 2.206303328275680542e-01
4.488104581832885742e-01 -4.915007054805755615e-01 -6.672667694091796875e+01 1.881920918822288513e-02 2.227719724178314209e-01
4.640229642391204834e-01 -4.958127737045288086e-01 -6.764505004882812500e+01 1.879252120852470398e-02 2.257870137691497803e-01
4.797510504722595215e-01 -4.974970519542694092e-01 -6.856637573242187500e+01 1.925189234316349030e-02 2.288110703229904175e-01
4.960123002529144287e-01 -5.075552463531494141e-01 -6.949063873291015625e+01 1.950502954423427582e-02 2.318455725908279419e-01
5.128246545791625977e-01 -5.126618742942810059e-01 -7.041770935058593750e+01 1.971289515495300293e-02 2.348898351192474365e-01
5.302069187164306641e-01 -5.180884599685668945e-01 -7.134740447998046875e+01 2.003787271678447723e-02 2.379424422979354858e-01
5.481783747673034668e-01 -5.241056680679321289e-01 -7.227952575683593750e+01 2.028424479067325592e-02 2.410030215978622437e-01
5.667588710784912109e-01 -5.301842689514160156e-01 -7.321398925781250000e+01 2.055383473634719849e-02 2.440717071294784546e-01
5.859692692756652832e-01 -5.367349386215209961e-01 -7.415084075927734375e+01 2.083136513829231262e-02 2.471484243869781494e-01
6.058307290077209473e-01 -5.427375435829162598e-01 -7.509008026123046875e+01 2.109199203550815582e-02 2.502330839633941650e-01
6.263654828071594238e-01 -5.498970746994018555e-01 -7.603187561035156250e+01 2.136969566345214844e-02 2.533267736434936523e-01
6.475961804389953613e-01 -5.566055178642272949e-01 -7.697618865966796875e+01 2.163567021489143372e-02 2.564288973808288574e-01
6.695465445518493652e-01 -5.631289482116699219e-01 -7.792288970947265625e+01 2.190938405692577362e-02 2.595389485359191895e-01
6.922408938407897949e-01 -5.696389675140380859e-01 -7.887171173095703125e+01 2.218046784400939941e-02 2.626560628414154053e-01
7.157044410705566406e-01 -5.756959319114685059e-01 -7.982242584228515625e+01 2.245181985199451447e-02 2.657791972160339355e-01
7.399632930755615234e-01 -5.819547772407531738e-01 -8.077498626708984375e+01 2.272489480674266815e-02 2.689084708690643311e-01
7.650445103645324707e-01 -5.883957743644714355e-01 -8.172959136962890625e+01 2.299706637859344482e-02 2.720447182655334473e-01
7.909757494926452637e-01 -5.950366258621215820e-01 -8.268641662597656250e+01 2.327020838856697083e-02 2.751885652542114258e-01
8.177859783172607422e-01 -6.018559336662292480e-01 -8.364552307128906250e+01 2.354400046169757843e-02 2.783403694629669189e-01
