# CLASS v3 transfer functions at z = 1000, Newtonian gauge,
# normalised to unit primordial curvature (output_format='class').
# theta convention: d(delta)/dtau = -theta, theta in 1/Mpc (c=1).
# cosmology: h=0.71, Omega_b=0.044, Omega_cdm=0.226, A_s=2.1e-09, n_s=0.965, k_pivot=0.05/Mpc
# k[1/Mpc]  delta_b  delta_cdm  theta_b[1/Mpc]  theta_cdm[1/Mpc]
4.884649484071944964e-02 -7.898907900486376032e-01 -1.674884988200350122e+01 3.899522049051010880e-02 5.776385269711147019e-02
5.090098363913862778e-02 -1.356308669129882905e+00 -1.737122246733975928e+01 3.934698351583703485e-02 5.988799689540140470e-02
5.295977227605631887e-02 -1.869058345888254813e+00 -1.798540260990647610e+01 3.618318074494995124e-02 6.204685765417854854e-02
5.503369170227283280e-02 -2.277891880130840541e+00 -1.859586282078750941e+01 2.954849568277035515e-02 6.424181046189862687e-02
5.713157392883911473e-02 -2.538909834769439211e+00 -1.920588158342238572e+01 1.982627487442803829e-02 6.646715867592986604e-02
5.926087937366650987e-02 -2.618701992480414020e+00 -1.981775903098209568e+01 7.763015221177672377e-03 6.871127007909137718e-02
6.142810511398891227e-02 -2.498639503053512012e+00 -2.043296935804286818e+01 -5.530438872145708451e-03 7.095788431383627526e-02
6.363905987773943451e-02 -2.179017949193948311e+00 -2.105228842781815857e+01 -1.863271509394196640e-02 7.318799699118293256e-02
6.589905462699456595e-02 -1.682073139036795784e+00 -2.167592200757471943e+01 -2.991645861723655694e-02 7.538223544400732279e-02
6.821303777471893204e-02 -1.053164935040980854e+00 -2.230364522083571899e+01 -3.771506495325929048e-02 7.752373367646807345e-02
7.058569295623144668e-02 -3.592749264781098240e-01 -2.293495272619207626e+01 -4.055000513427572256e-02 7.960121842622272514e-02
7.302151078341848067e-02 3.159268530013708554e-01 -2.356922316225802305e+01 -3.739814742690635713e-02 8.161178510531903740e-02
7.552484208759156770e-02 8.808743478549641015e-01 -2.420587701089956667e+01 -2.796392471442955829e-02 8.356265946397847810e-02
7.809993771898864068e-02 1.248545722822278936e+00 -2.484453714734407370e+01 -1.291241856146261961e-02 8.547164422570073528e-02
8.075097841899980811e-02 1.351396692359694063e+00 -2.548516376693742203e+01 6.011932845074667575e-03 8.736566994860982260e-02
8.348209727421543325e-02 1.156857745101260937e+00 -2.612815396549986957e+01 2.604754661794819737e-02 8.927758476964242629e-02
8.629739659865950929e-02 6.803230294532901512e-01 -2.677438098684915602e+01 4.371471496157464803e-02 9.124156066985265878e-02
8.920096065048471745e-02 -8.369942248301572019e-03 -2.742515584654943694e+01 5.538060212588363090e-02 9.328775067762537510e-02
9.219686529621883009e-02 -7.884773883007412110e-01 -2.808206669221182850e+01 5.803658079482850590e-02 9.543679758971193583e-02
9.528918554088634807e-02 -1.504740509086541334e+00 -2.874674964255044074e+01 5.017666497269653719e-02 9.769522071222971893e-02
9.848200171411913839e-02 -1.996575135883427388e+00 -2.942055852310163644e+01 3.253339792591604385e-02 1.000521252169700587e-01
1.017794050192163818e-01 -2.136757930857103638e+00 -3.010427944816517254e+01 8.430555959061166588e-03 1.024790973062652127e-01
1.051855030991714346e-01 -1.870961305072544656e+00 -3.079792858860234617e+01 -1.654181199493376386e-02 1.049342586357255580e-01
1.087044262405384015e-01 -1.246596287986583285e+00 -3.150072842791038497e+01 -3.565686333518371109e-02 1.073712018616040376e-01
1.123403348153496212e-01 -4.176488222642638082e-01 -3.221129559672130682e+01 -4.289742211147519468e-02 1.097520286537858603e-01
1.160974285481344848e-01 3.839111751376257375e-01 -3.292797066692935459e+01 -3.508898985850763402e-02 1.120599858010788569e-01
1.199799581863299908e-01 9.108007887481096576e-01 -3.364925560321997722e+01 -1.360698428376878356e-02 1.143067114615436419e-01
1.239922401465639590e-01 9.835692889850876641e-01 -3.437427556149547314e+01 1.520237301849164911e-02 1.165302956976168314e-01
1.281386747065189069e-01 5.674784892392810143e-01 -3.510302068311445112e+01 4.150001047331358661e-02 1.187828160949213480e-01
1.324237683139079247e-01 -1.918068629797519409e-01 -3.583642160991411885e+01 5.529386180480908020e-02 1.211133382217593757e-01
1.368521605935290320e-01 -1.001089216813751070e+00 -3.657597572311090062e+01 5.067683403767144629e-02 1.235497754744087351e-01
1.414286566548768054e-01 -1.525594014497310136e+00 -3.732316573142024652e+01 2.915376450581893403e-02 1.260867405972213862e-01
1.461582653423090239e-01 -1.535947190256980344e+00 -3.807881162896966742e+01 8.269085983802354489e-05 1.286850466972038476e-01
1.510462441347523999e-01 -1.031138794551339943e+00 -3.884273339365824285e+01 -2.281813676319613751e-02 1.312881695700034435e-01
1.560981515015199550e-01 -2.653595350743127579e-01 -3.961376540210522279e+01 -2.802104238411727566e-02 1.338500112748815529e-01
1.613199076661060438e-01 3.608254121542918691e-01 -4.039030707470240600e+01 -1.276465198007653915e-02 1.363586832946066252e-01
1.667178649344015773e-01 5.113734955209704447e-01 -4.117102767364972493e+01 1.434355673829399054e-02 1.388401163619546463e-01
1.722988890245290006e-01 1.195561965758916573e-01 -4.195559517746637113e+01 3.732193595986112861e-02 1.413424621836403827e-01
1.780704532139522622e-01 -5.491096154965912080e-01 -4.274479858981314351e+01 4.225454152470970587e-02 1.439088560984494447e-01
1.840407476237926332e-01 -1.048366380001666043e+00 -4.354009579854249523e+01 2.679098901412320377e-02 1.465510965168793089e-01
1.902188066280314782e-01 -1.050243392652212782e+00 -4.434279048161756265e+01 2.747875940793198003e-03 1.492420237967748697e-01
