# Power spectra at z = 1000 [Mpc^3] from CLASS transfer functions;
# last column is the direct CLASS P_m(k) for cross-checking.
# k[1/Mpc]  P_b  P_cdm  P_m  P_m_direct
3.056294915517920652e-05 2.171212354318205733e+06 2.171212354336926248e+06 2.171212354333876632e+06 2.171210365414795931e+06
3.127485169392787311e-05 2.024661406568175182e+06 2.024661406588573009e+06 2.024661406585250515e+06 2.024659551884235814e+06
3.200333657301626162e-05 1.887991753184576053e+06 1.887991753193964949e+06 1.887991753192435019e+06 1.887990023611063603e+06
3.274879004476990600e-05 1.760559731079888064e+06 1.760559731093693059e+06 1.760559731091443682e+06 1.760558118252137443e+06
3.351160735848677131e-05 1.641728965214340948e+06 1.641728965232553193e+06 1.641728965229586232e+06 1.641727461251020432e+06
3.429219297000366744e-05 1.530918821562489728e+06 1.530918821585064987e+06 1.530918821581385564e+06 1.530917419108259026e+06
3.509096075614409334e-05 1.427587955476106843e+06 1.427587955503055127e+06 1.427587955498663476e+06 1.427586647684744559e+06
3.590833423416120397e-05 1.331231565485239262e+06 1.331231565516560804e+06 1.331231565511456225e+06 1.331230345967924688e+06
3.674474678629226194e-05 1.241376619290095987e+06 1.241376619323095540e+06 1.241376619317717850e+06 1.241375482046993915e+06
3.760064188954363279e-05 1.157588983586510178e+06 1.157588983624119777e+06 1.157588983617990976e+06 1.157587923095528735e+06
3.847647335082817469e-05 1.079457397460066248e+06 1.079457397504474968e+06 1.079457397497238824e+06 1.079456408557351213e+06
3.937270554757965840e-05 1.006598929200457060e+06 1.006598929249727051e+06 1.006598929241698002e+06 1.006598007049693610e+06
4.028981367397183478e-05 9.386582969265104039e+05 9.386582969811015064e+05 9.386582969722046982e+05 9.386574370317641879e+05
4.122828399287268111e-05 8.753055393423227360e+05 8.753055394109707559e+05 8.753055393997835927e+05 8.753047375036112498e+05
4.218861409366739989e-05 8.162271375130633824e+05 8.162271375893382356e+05 8.162271375769082224e+05 8.162263898028081749e+05
4.317131315608690832e-05 7.611350119480856229e+05 7.611350120315368986e+05 7.611350120179374935e+05 7.611343146861710120e+05
4.417690222018166027e-05 7.097638145063982811e+05 7.097638146045895992e+05 7.097638145885881968e+05 7.097631643263641745e+05
4.520591446258398309e-05 6.618597404920840636e+05 6.618597406021049246e+05 6.618597405841758009e+05 6.618591342172704171e+05
4.625889547920537798e-05 6.171889610266932286e+05 6.171889611442766618e+05 6.171889611251148162e+05 6.171883957021353999e+05
4.733640357451872902e-05 5.755321569919618778e+05 5.755321571152301040e+05 5.755321570951421745e+05 5.755316298324795207e+05
