# Power spectra at z = 1000 [Mpc^3] from CAMB transfer functions.
# k[1/Mpc]  P_b  P_cdm  P_m
1.182190850377082825e-01 1.783678817446343601e-05 2.685867622494697571e-02 1.862967014312744141e-02
1.218206211924552917e-01 2.929390029748901725e-05 2.551126293838024139e-02 1.763892173767089844e-02
1.254221498966217041e-01 2.138498712156433612e-05 2.425367943942546844e-02 1.679697446525096893e-02
1.290236860513687134e-01 5.530322141567012295e-06 2.307911217212677002e-02 1.607262343168258667e-02
1.326252222061157227e-01 3.550317444478423567e-07 2.198181860148906708e-02 1.542525552213191986e-02
1.362267583608627319e-01 1.119413900596555322e-05 2.095663733780384064e-02 1.481529977172613144e-02
1.398282945156097412e-01 2.702614438021555543e-05 1.999854482710361481e-02 1.421288028359413147e-02
1.434298157691955566e-01 3.347477831994183362e-05 1.910253427922725677e-02 1.360287237912416458e-02
1.470313519239425659e-01 2.620002305775415152e-05 1.826359517872333527e-02 1.298545114696025848e-02
1.506328880786895752e-01 1.247927411895943806e-05 1.747682690620422363e-02 1.237254310399293900e-02
1.542344242334365845e-01 2.416762981738429517e-06 1.673764549195766449e-02 1.178184617310762405e-02
1.578359454870223999e-01 6.811301744846787187e-08 1.604186743497848511e-02 1.123041380196809769e-02
1.614374816417694092e-01 2.188242433476261795e-06 1.538584195077419281e-02 1.072979904711246490e-02
1.650390177965164185e-01 3.535948962962720543e-06 1.476643513888120651e-02 1.028358004987239838e-02
1.686405539512634277e-01 2.206334556831279770e-06 1.418097876012325287e-02 9.887436404824256897e-03
1.722420901060104370e-01 2.661013525084854336e-07 1.362719479948282242e-02 9.531212970614433289e-03
1.758436113595962524e-01 4.786848535331955645e-07 1.310309767723083496e-02 9.202053770422935486e-03
1.794451624155044556e-01 3.203907681381679140e-06 1.260688435286283493e-02 8.887689560651779175e-03
1.830466836690902710e-01 6.298223979683825746e-06 1.213686913251876831e-02 8.579059503972530365e-03
1.866482198238372803e-01 7.389080110442591831e-06 1.169141475111246109e-02 8.271748200058937073e-03
1.902497559785842896e-01 5.919102477491833270e-06 1.126893050968647003e-02 7.965979166328907013e-03
1.938512772321701050e-01 3.216301593056414276e-06 1.086789462715387344e-02 7.665476296097040176e-03
